0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,,,Expected Occurrence,ExpFrac
1,34359738368,8,4209.24199,127.493112,3.141672,4.75E-06,0.881190037,,134217728,0.00390625
2,Value,Occurrences,Fraction,Bias,Rel_Bias,NumSTDev,RMSE,Population Stdev,,
3,187,134163072,0.003904659,-1.5907E-06,-54656,-1.163458612,2987278336,,,
3,188,134213117,0.003906116,-1.34198E-07,-4611,-0.098154048,21261321,,,
3,189,134178969,0.003905122,-1.12804E-06,-38759,-0.825060238,1502260081,,,
3,190,134200558,0.00390575,-4.99713E-07,-17170,-0.36549664,294808900,,,
3,191,134200994,0.003905763,-4.87023E-07,-16734,-0.356215538,280026756,,,
3,192,134329710,0.003909509,3.25911E-06,111982,2.383753336,12539968324,,,
3,193,134265089,0.003907628,1.37839E-06,47361,1.008170436,2243064321,,,
3,194,134238632,0.003906858,6.08386E-07,20904,0.444982048,436977216,,,
3,195,134257670,0.003907412,1.16247E-06,39942,0.85024268,1595363364,,,
3,196,134240371,0.003906909,6.58998E-07,22643,0.482000025,512705449,,,
3,197,134210428,0.003906038,-2.12458E-07,-7300,-0.155394611,53290000,,,
3,198,134227113,0.003906523,2.73139E-07,9385,0.199777867,88078225,,,
3,199,134248729,0.003907152,9.02248E-07,31001,0.659916211,961062001,,,
3,200,134256286,0.003907372,1.12219E-06,38558,0.820781564,1486719364,,,
3,201,134199667,0.003905724,-5.25644E-07,-18061,-0.384463298,326199721,,,
3,202,134179836,0.003905147,-1.1028E-06,-37892,-0.806604467,1435803664,,,
3,203,134197874,0.003905672,-5.77827E-07,-19854,-0.422630769,394181316,,,
3,204,134231763,0.003906658,4.08472E-07,14035,0.298762105,196981225,,,
3,205,134190012,0.003905443,-8.06642E-07,-27716,-0.589988636,768176656,,,
3,206,134207592,0.003905955,-2.94996E-07,-10136,-0.215764353,102738496,,,
3,207,134234613,0.003906741,4.91418E-07,16885,0.359429864,285103225,,,
3,208,134236336,0.003906792,5.41564E-07,18608,0.39610725,346257664,,,
3,209,134216970,0.003906228,-2.20607E-08,-758,-0.016135495,574564,,,
3,210,134177162,0.003905069,-1.18063E-06,-40566,-0.863525726,1645600356,,,
3,211,134192300,0.00390551,-7.40052E-07,-25428,-0.541284133,646583184,,,
3,212,134162660,0.003904647,-1.60269E-06,-55068,-1.172228829,3032484624,,,
3,213,134134797,0.003903836,-2.41361E-06,-82931,-1.765346644,6877550761,,,
3,214,134170369,0.003904872,-1.37833E-06,-47359,-1.008127862,2242874881,,,
3,215,134167038,0.003904775,-1.47527E-06,-50690,-1.079034636,2569476100,,,
3,216,134215192,0.003906176,-7.38073E-08,-2536,-0.053983662,6431296,,,
3,217,134174828,0.003905001,-1.24855E-06,-42900,-0.913209428,1840410000,,,
3,218,134155654,0.003904443,-1.80659E-06,-62074,-1.321365082,3853181476,,,
3,219,134184146,0.003905273,-9.77365E-07,-33582,-0.714857785,1127750724,,,
3,220,134218989,0.003906287,3.66999E-08,1261,0.026842823,1590121,,,
3,221,134171139,0.003904894,-1.35592E-06,-46589,-0.991736924,2170534921,,,
3,222,134178862,0.003905119,-1.13115E-06,-38866,-0.82733794,1510565956,,,
3,223,134239948,0.003906897,6.46687E-07,22220,0.472995652,493728400,,,
3,224,134307720,0.003908869,2.61911E-06,89992,1.915653679,8098560064,,,
3,225,134272089,0.003907832,1.58211E-06,54361,1.157178967,2955118321,,,
3,226,134233292,0.003906703,4.52972E-07,15564,0.331309826,242238096,,,
3,227,134250249,0.003907196,9.46486E-07,32521,0.69227235,1057615441,,,
3,228,134238438,0.003906853,6.0274E-07,20710,0.440852383,428904100,,,
3,229,134178570,0.00390511,-1.13965E-06,-39158,-0.833553724,1533348964,,,
3,230,134212932,0.00390611,-1.39582E-07,-4796,-0.102092131,23001616,,,
3,231,134231565,0.003906653,4.0271E-07,13837,0.294547293,191462569,,,
3,232,134239065,0.003906871,6.20988E-07,21337,0.45419929,455267569,,,
3,233,134180238,0.003905159,-1.0911E-06,-37490,-0.79804712,1405500100,,,
3,234,134157937,0.00390451,-1.74015E-06,-59791,-1.272767014,3574963681,,,
3,235,134174676,0.003904997,-1.25298E-06,-43052,-0.916445041,1853474704,,,
3,236,134205244,0.003905887,-3.63332E-07,-12484,-0.265746072,155850256,,,
3,237,134179295,0.003905131,-1.11855E-06,-38433,-0.818120698,1477095489,,,
3,238,134203029,0.003905822,-4.27797E-07,-14699,-0.312896629,216060601,,,
3,239,134215255,0.003906178,-7.19738E-08,-2473,-0.052642585,6115729,,,
3,240,134299315,0.003908624,2.37449E-06,81587,1.736737006,6656438569,,,
3,241,134231693,0.003906656,4.06435E-07,13965,0.29727202,195021225,,,
